trigger,direction,signal_def,source
F0,LONG,AT_Slope_ST:lo + Micro_VolOfVol:hi + D2D_DirStep:==1,DECORR
F0,LONG,Micro_FractalDim:lo + Session_Low_Dist_ATR:lo + TChan_A15:hi,DECORR
F0,LONG,Slope_Accel_LT:hi + OBV_Macd:lo + ADX_Rising:==0,DECORR
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + VWAP_Side:==-1,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_BarOverlap:lo + Upper_Wick:hi,DECORR
F0,LONG,AT_Score_LT:lo + Slope_Accel_LT:hi + Harmonic_OBVf_Concordance:==0,DECORR
F0,LONG,Micro_LogReturn:hi + Micro_TickIntensity:hi + Micro_VolOfVol:hi,DECORR+PRICED
F0,LONG,AT_Slope_ST:lo + Volume_Avg_10:hi + Micro_VolOfVol:hi,DECORR
F0,LONG,DailyOpen_Dist_ATR:lo + OR_Position:lo + VWAP_Side:==1,DECORR
F0,LONG,Slope_EMA_ST:lo + Micro_RangeVelocity:lo + OR_Position:lo,DECORR
F0,SHORT,Micro_Entropy:lo + Micro_WickImbalance:lo + Lower_Wick:lo,DECORR+PRICED
F0,SHORT,Micro_GarmanKlass:hi + Micro_HLAsymmetry:hi + Lower_Wick:lo,DECORR
F0,SHORT,Micro_RangeVelocity:lo + Lower_Wick:lo + AT_Regime_ST:==0,DECORR+PRICED
F0,SHORT,Micro_BarOverlap:hi + Micro_Entropy:lo + VWAP_Z:lo,DECORR
F0,SHORT,Micro_MomoTransfer:hi + Micro_RangeAccel:lo + OBVf_Signal:==1,DECORR
F0,SHORT,D2D_ATR:hi + Momentum_Value:hi + Session_High_Dist_ATR:hi,DECORR
F0,SHORT,Volume_Avg_10:hi + Micro_AutoCorr:hi + PrevDay_Close_Dist_ATR:hi,DECORR
F0,SHORT,Bar_Range:hi + PrevDay_Low_Dist_ATR:hi + PrevDay_High_Side:==1,DECORR
F0,SHORT,Slope_Accel_ST:lo + Volume_Avg_10:hi + VAL_Side:==-1,DECORR
F0,SHORT,D2D_ATR_MA:hi + D2D_Dynamic_Sensitivity:lo + Micro_VPIN:hi,DECORR
F0,SHORT,OBVf_DirStepCount:lo + Sqz_Val:lo + Micro_HLAsymmetry:lo,DECORR
F0,SHORT,DailyOpen_Dist_ATR:lo + TChan_A15:hi + VAH_Side:==-1,DECORR
F0,SHORT,Sqz_Val:hi + Session_High_Dist_ATR:hi + Volume:hi,DECORR
F0,SHORT,Micro_Entropy:lo + Micro_WickImbalance:lo + VAL_Side:==0,DECORR
F0,SHORT,AT_Slope_ST:hi + Micro_Entropy:hi + WeeklyOpen_Side:==1,DECORR
F0,SHORT,Slope_Accel_ST:hi + VA_Position:hi + VWAP_Side:==-1,DECORR
F0,SHORT,WeeklyOpen_Dist_ATR:hi + ADX_Value:hi + Volume:hi,DECORR
F0,SHORT,Momentum_Value:hi + Micro_TickIntensity:hi + Session_High_Dist_ATR:hi,DECORR
F0,SHORT,D2D_Dynamic_Sensitivity:lo + Volume_Avg_10:hi + Efficiency_Ratio:hi,DECORR
F0,SHORT,ATR_1M:hi + OBV_Velocity:lo + PrevDay_High_Dist_ATR:hi,DECORR
F0,SHORT,Micro_GarmanKlass:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1,DECORR
F0,SHORT,D2D_ATR:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1,DECORR
F0,SHORT,Slope_Accel_LT:lo + Micro_AutoCorr:lo + Micro_FractalDim:lo,DECORR
F0,SHORT,D2D_ATR_MA:hi + Momentum_Value:hi + Session_High_Dist_ATR:hi,DECORR
F0,SHORT,Volume_Avg_10:hi + DailyOpen_Dist_ATR:lo + VAH_Side:==0,DECORR
F0,SHORT,Sqz_Val:hi + VA_Position:hi + PrevDay_Close_Side:==-1,DECORR
F0,SHORT,Momentum_Value:hi + Micro_VolAccel:lo + RangeOsc_State:==2,DECORR
F0,SHORT,Volume_Avg_10:hi + WeeklyOpen_Dist_ATR:hi + PrevDay_High_Side:==1,DECORR
