direction,condition,variable,bars_present,share_traded_bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl_where_present,mean_multiplicity,book_slots_dir,book_slot_share_dir
LONG,AT_Score_LT:lo,AT_Score_LT,68,0.1131,66,2,10.34,262.61,17857.5,2.04,5,0.0087
LONG,PoC_Side:==1,PoC_Side,65,0.1082,65,0,10.25,1233.6,80183.9,1.0,1,0.0017
LONG,WeeklyOpen_Side:==-1,WeeklyOpen_Side,69,0.1148,64,5,9.17,927.89,64024.7,1.42,3,0.0052
LONG,OR_Position:lo,OR_Position,69,0.1148,63,6,16.03,472.52,32604.2,1.22,4,0.007
LONG,Micro_VPIN:lo,Micro_VPIN,65,0.1082,62,3,9.82,433.38,28169.5,1.74,7,0.0122
LONG,KAMA_Dist:lo,KAMA_Dist,67,0.1115,60,7,8.06,194.91,13059.1,4.19,9,0.0157
LONG,MultiDay_Position:lo,MultiDay_Position,62,0.1032,58,4,16.34,703.47,43615.1,1.23,2,0.0035
LONG,Micro_RangeAccel:hi,Micro_RangeAccel,58,0.0965,58,0,11.17,356.3,20665.3,1.1,3,0.0052
LONG,DailyOpen_Dist_ATR:lo,DailyOpen_Dist_ATR,57,0.0948,56,1,8.89,707.92,40351.2,1.04,3,0.0052
LONG,PrevDay_Close_Side:==-1,PrevDay_Close_Side,59,0.0982,56,3,7.07,815.42,48109.7,1.02,2,0.0035
LONG,VWAP_Dist_ATR:lo,VWAP_Dist_ATR,56,0.0932,55,1,8.77,652.62,36546.6,1.32,3,0.0052
LONG,TChan_A15:hi,TChan_A15,55,0.0915,55,0,10.65,834.92,45920.4,1.51,3,0.0052
LONG,Micro_Amihud:hi,Micro_Amihud,55,0.0915,54,1,16.09,850.71,46789.3,1.13,2,0.0035
LONG,Micro_OrderFlowDelta:lo,Micro_OrderFlowDelta,55,0.0915,53,2,8.13,385.7,21213.7,1.09,5,0.0087
LONG,RangeOsc_State:==2,RangeOsc_State,57,0.0948,53,4,6.77,453.26,25835.9,1.33,4,0.007
LONG,KAMA_Dist:hi,KAMA_Dist,52,0.0865,50,2,14.04,1188.92,61823.6,1.0,1,0.0017
LONG,ADX_Rising:==0,ADX_Rising,52,0.0865,50,2,9.27,658.27,34230.2,1.0,2,0.0035
LONG,OBVf_Signal:==1,OBVf_Signal,52,0.0865,50,2,16.02,275.21,14311.1,1.17,2,0.0035
LONG,D2D_Signal:==0,D2D_Signal,54,0.0899,49,5,19.7,487.14,26305.5,1.0,1,0.0017
LONG,RangeOsc_State:==-2,RangeOsc_State,51,0.0849,49,2,11.25,1206.16,61514.0,2.08,4,0.007
LONG,Slope_Accel_LT:lo,Slope_Accel_LT,49,0.0815,48,1,11.49,712.05,34890.3,3.08,9,0.0157
LONG,Micro_Lambda:lo,Micro_Lambda,52,0.0865,46,6,7.35,265.76,13819.7,1.48,5,0.0087
LONG,ADX_Rising:==1,ADX_Rising,48,0.0799,46,2,6.44,525.78,25237.3,1.0,1,0.0017
LONG,DailyOpen_Side:==-1,DailyOpen_Side,44,0.0732,44,0,8.3,794.86,34973.7,1.2,3,0.0052
LONG,VA_Position:hi,VA_Position,47,0.0782,44,3,10.06,303.48,14263.6,1.06,2,0.0035
LONG,OR_Position:hi,OR_Position,44,0.0732,42,2,6.52,418.25,18402.9,1.32,4,0.007
LONG,Harmonic_OBVf_Concordance:==0,Harmonic_OBVf_Concordance,45,0.0749,41,4,8.8,261.63,11773.4,1.0,1,0.0017
LONG,PrevDay_Low_Dist_ATR:lo,PrevDay_Low_Dist_ATR,41,0.0682,41,0,16.17,402.94,16520.5,1.0,1,0.0017
LONG,Micro_MomoTransfer:hi,Micro_MomoTransfer,44,0.0732,41,3,7.09,448.21,19721.4,2.23,5,0.0087
LONG,Micro_MicroGap:lo,Micro_MicroGap,42,0.0699,40,2,12.88,366.34,15386.2,1.38,3,0.0052
LONG,Micro_FractalDim:lo,Micro_FractalDim,40,0.0666,39,1,10.85,518.95,20758.0,1.0,2,0.0035
LONG,Micro_CSSpread:hi,Micro_CSSpread,40,0.0666,38,2,11.2,298.95,11958.1,1.12,2,0.0035
LONG,VWAP_Side:==1,VWAP_Side,38,0.0632,38,0,7.74,736.83,27999.5,1.08,2,0.0035
LONG,DailyOpen_Side:==1,DailyOpen_Side,39,0.0649,38,1,10.51,288.99,11270.8,1.23,2,0.0035
LONG,Micro_Entropy:lo,Micro_Entropy,39,0.0649,37,2,7.28,574.82,22417.9,1.46,4,0.007
LONG,Micro_HLAsymmetry:lo,Micro_HLAsymmetry,39,0.0649,37,2,7.54,209.81,8182.6,1.33,5,0.0087
LONG,D2D_DirStep:==1,D2D_DirStep,39,0.0649,37,2,19.67,1470.05,57331.8,1.0,1,0.0017
LONG,Micro_MicroGap:hi,Micro_MicroGap,38,0.0632,36,2,11.79,513.48,19512.4,1.03,3,0.0052
LONG,Lower_Wick:lo,Lower_Wick,39,0.0649,36,3,8.15,287.62,11217.2,1.1,2,0.0035
LONG,Round_100_Dist_ATR:lo,Round_100_Dist_ATR,37,0.0616,36,1,11.97,309.68,11458.2,1.03,2,0.0035
LONG,PrevDay_High_Dist_ATR:hi,PrevDay_High_Dist_ATR,37,0.0616,36,1,8.49,196.08,7255.1,1.95,3,0.0052
LONG,RangeOsc_Val:lo,RangeOsc_Val,37,0.0616,35,2,19.84,369.32,13665.0,1.51,2,0.0035
LONG,OBV_Velocity:hi,OBV_Velocity,35,0.0582,34,1,8.17,404.19,14146.8,1.03,2,0.0035
LONG,ADX_Value:hi,ADX_Value,35,0.0582,34,1,9.29,684.17,23946.0,1.17,2,0.0035
LONG,D2D_Persist:hi,D2D_Persist,37,0.0616,33,4,5.3,197.77,7317.5,1.0,1,0.0017
LONG,MultiDay_Position:hi,MultiDay_Position,34,0.0566,32,2,5.59,285.8,9717.1,1.0,1,0.0017
LONG,MultiDay_Slope:lo,MultiDay_Slope,33,0.0549,32,1,10.06,271.58,8962.0,1.0,2,0.0035
LONG,RangeOsc_Val:hi,RangeOsc_Val,31,0.0516,31,0,6.39,393.9,12210.9,1.0,2,0.0035
LONG,Micro_VolOfVol:lo,Micro_VolOfVol,30,0.0499,30,0,7.93,254.25,7627.4,1.03,2,0.0035
LONG,VWAP_Sigma:lo,VWAP_Sigma,29,0.0483,29,0,6.9,334.5,9700.6,3.21,8,0.014
LONG,EMA_Oscillator:hi,EMA_Oscillator,31,0.0516,29,2,16.13,1050.26,32558.2,1.0,1,0.0017
LONG,Micro_BarOverlap:lo,Micro_BarOverlap,29,0.0483,29,0,18.41,1092.91,31694.4,1.0,1,0.0017
LONG,Micro_PriceAccel:hi,Micro_PriceAccel,30,0.0499,29,1,10.9,975.75,29272.4,1.0,2,0.0035
LONG,Slope_EMA_ST:hi,Slope_EMA_ST,29,0.0483,28,1,6.17,287.0,8323.1,1.0,2,0.0035
