direction,condition,variable,bars_present,share_traded_bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl_where_present,mean_multiplicity,book_slots_dir,book_slot_share_dir
SHORT,PrevDay_Low_Side:==1,PrevDay_Low_Side,20,0.0538,20,0,5.65,223.4,4468.0,1.0,1,0.0031
SHORT,Micro_PriceAccel:lo,Micro_PriceAccel,20,0.0538,20,0,4.95,204.86,4097.2,1.05,3,0.0094
SHORT,D2D_Dn_Count:hi,D2D_Dn_Count,19,0.0511,19,0,5.89,936.84,17800.0,1.16,2,0.0063
SHORT,Micro_BarOverlap:hi,Micro_BarOverlap,20,0.0538,19,1,5.15,100.36,2007.2,1.15,2,0.0063
SHORT,OBV_Velocity:lo,OBV_Velocity,18,0.0484,18,0,4.94,203.29,3659.3,1.0,2,0.0063
SHORT,Slope_EMA_ST:lo,Slope_EMA_ST,18,0.0484,18,0,4.78,99.37,1788.6,1.0,2,0.0063
SHORT,VA_Position:hi,VA_Position,16,0.043,16,0,4.5,235.84,3773.5,1.06,2,0.0063
SHORT,Micro_ThrustEff:lo,Micro_ThrustEff,16,0.043,16,0,4.88,1059.52,16952.4,1.0,2,0.0063
SHORT,Micro_IBSP:hi,Micro_IBSP,17,0.0457,16,1,4.53,122.63,2084.7,1.0,2,0.0063
SHORT,Micro_FailedBreak:lo,Micro_FailedBreak,16,0.043,16,0,4.69,132.78,2124.4,1.25,3,0.0094
SHORT,Micro_VPIN:lo,Micro_VPIN,17,0.0457,16,1,4.82,226.35,3847.9,1.0,1,0.0031
SHORT,Slope_EMA_LT:hi,Slope_EMA_LT,17,0.0457,16,1,4.82,226.35,3847.9,1.0,1,0.0031
SHORT,Round_500_Dist_ATR:lo,Round_500_Dist_ATR,16,0.043,16,0,4.56,171.98,2751.6,1.0,1,0.0031
SHORT,VWAP_Dist_ATR:lo,VWAP_Dist_ATR,15,0.0403,15,0,6.0,1194.0,17910.0,1.0,1,0.0031
SHORT,Micro_PriceAccel:hi,Micro_PriceAccel,15,0.0403,15,0,5.07,246.79,3701.8,1.0,2,0.0063
SHORT,OR_High_Dist_ATR:hi,OR_High_Dist_ATR,15,0.0403,15,0,4.67,153.49,2302.3,1.0,1,0.0031
SHORT,Sqz_State:==-1,Sqz_State,15,0.0403,15,0,4.67,153.49,2302.3,1.0,1,0.0031
SHORT,DailyOpen_Side:==-1,DailyOpen_Side,15,0.0403,14,1,4.4,226.2,3393.0,1.13,2,0.0063
SHORT,OBV_Velocity:hi,OBV_Velocity,14,0.0376,14,0,5.29,148.49,2078.9,1.64,3,0.0094
SHORT,WeeklyOpen_Side:==-1,WeeklyOpen_Side,14,0.0376,14,0,5.14,333.56,4669.9,1.29,2,0.0063
SHORT,KAMA_Dist:hi,KAMA_Dist,14,0.0376,14,0,4.64,137.45,1924.3,1.0,1,0.0031
SHORT,AT_Score_LT:lo,AT_Score_LT,14,0.0376,14,0,4.36,102.49,1434.8,1.07,3,0.0094
SHORT,Micro_TickIntensity:lo,Micro_TickIntensity,14,0.0376,14,0,5.14,197.32,2762.5,1.0,1,0.0031
SHORT,AT_Slope_LT:hi,AT_Slope_LT,13,0.0349,13,0,5.08,1224.15,15914.0,1.0,2,0.0063
SHORT,RangeOsc_State:==-2,RangeOsc_State,12,0.0323,12,0,4.42,183.98,2207.8,1.0,1,0.0031
SHORT,VWAP_Sigma:hi,VWAP_Sigma,12,0.0323,12,0,4.42,183.98,2207.8,1.0,1,0.0031
SHORT,Micro_BarEntropy:hi,Micro_BarEntropy,12,0.0323,12,0,4.33,121.16,1453.9,1.67,3,0.0094
SHORT,Slope_Accel_ST:hi,Slope_Accel_ST,12,0.0323,12,0,4.92,287.71,3452.5,1.0,1,0.0031
SHORT,Micro_LogReturn:lo,Micro_LogReturn,12,0.0323,12,0,4.83,218.45,2621.4,1.08,2,0.0063
SHORT,OBVf_DirStepCount:hi,OBVf_DirStepCount,12,0.0323,12,0,5.08,246.16,2953.9,1.0,1,0.0031
SHORT,Micro_LogReturn:hi,Micro_LogReturn,12,0.0323,12,0,4.67,144.88,1738.6,1.42,3,0.0094
SHORT,Micro_RollProxy:lo,Micro_RollProxy,12,0.0323,11,1,4.5,33.73,404.8,1.0,1,0.0031
SHORT,Volume_Ratio_10:lo,Volume_Ratio_10,12,0.0323,11,1,4.5,33.73,404.8,1.0,1,0.0031
SHORT,Efficiency_Ratio:lo,Efficiency_Ratio,11,0.0296,11,0,3.91,183.44,2017.8,1.91,2,0.0063
SHORT,Micro_VolAccel:hi,Micro_VolAccel,12,0.0323,11,1,4.83,98.02,1176.2,1.0,3,0.0094
SHORT,MultiDay_Slope:lo,MultiDay_Slope,11,0.0296,11,0,4.55,169.97,1869.7,1.0,1,0.0031
SHORT,OBV_Macd:lo,OBV_Macd,11,0.0296,11,0,4.55,169.97,1869.7,1.0,1,0.0031
SHORT,Lower_Wick:hi,Lower_Wick,10,0.0269,10,0,4.9,148.98,1489.8,1.0,1,0.0031
SHORT,Micro_ThrustEff:hi,Micro_ThrustEff,10,0.0269,10,0,4.3,73.48,734.8,1.0,1,0.0031
SHORT,MultiDay_Position:hi,MultiDay_Position,11,0.0296,10,1,5.09,105.06,1155.7,1.0,1,0.0031
SHORT,Round_100_Dist_ATR:lo,Round_100_Dist_ATR,9,0.0242,9,0,4.44,136.49,1228.4,1.0,1,0.0031
SHORT,Micro_FractalDim:lo,Micro_FractalDim,9,0.0242,9,0,4.67,101.19,910.7,1.0,1,0.0031
SHORT,Micro_RollProxy:hi,Micro_RollProxy,8,0.0215,8,0,5.25,175.39,1403.1,1.0,1,0.0031
SHORT,AT_Lookback_LT:hi,AT_Lookback_LT,7,0.0188,7,0,4.43,202.1,1414.7,1.0,1,0.0031
SHORT,Micro_Amihud:lo,Micro_Amihud,7,0.0188,7,0,4.43,202.1,1414.7,1.0,1,0.0031
SHORT,DailyOpen_Dist_ATR:hi,DailyOpen_Dist_ATR,7,0.0188,7,0,5.57,230.14,1611.0,1.0,1,0.0031
SHORT,Micro_Hurst:lo,Micro_Hurst,7,0.0188,7,0,5.57,230.14,1611.0,1.0,1,0.0031
SHORT,Micro_VolOfVol:lo,Micro_VolOfVol,6,0.0161,6,0,6.83,2539.33,15236.0,1.83,2,0.0063
SHORT,Micro_AutoCorr:lo,Micro_AutoCorr,6,0.0161,6,0,5.0,352.47,2114.8,1.17,2,0.0063
SHORT,Micro_AutoCorr:hi,Micro_AutoCorr,5,0.0134,5,0,3.2,72.72,363.6,1.0,1,0.0031
SHORT,VWAP_Side:==-1,VWAP_Side,5,0.0134,5,0,3.2,72.72,363.6,1.0,1,0.0031
SHORT,Dist_To_PoC_ATR:lo,Dist_To_PoC_ATR,5,0.0134,5,0,5.0,300.84,1504.2,1.0,1,0.0031
SHORT,Slope_Accel_LT:hi,Slope_Accel_LT,5,0.0134,5,0,5.0,300.84,1504.2,1.6,2,0.0063
SHORT,WeeklyOpen_Dist_ATR:lo,WeeklyOpen_Dist_ATR,5,0.0134,5,0,4.6,153.78,768.9,1.0,1,0.0031
SHORT,VAL_Side:==-1,VAL_Side,4,0.0108,4,0,4.25,86.57,346.3,1.0,1,0.0031
SHORT,PrevDay_Low_Side:==-1,PrevDay_Low_Side,3,0.0081,3,0,6.67,4957.9,14873.7,1.0,1,0.0031
SHORT,Body_Size:lo,Body_Size,3,0.0081,3,0,4.33,130.57,391.7,1.0,1,0.0031
SHORT,OR_Low_Side:==-1,OR_Low_Side,3,0.0081,3,0,4.33,130.57,391.7,1.0,1,0.0031
