bar,time,direction,depth_q,admissible_nA,admitted,capped,slots,distinct_conds,distinct_vars,conds_per_slot,vars_per_slot,eH_conds,eH_vars,bar_pnl,loss_event,cond_set,sig_set,ADX_Value,ATR_1M,Volume,Micro_Hurst,Micro_FailedBreak,D2D_Trend_Dir,AT_Slope_ST,exp_conds_random,exp_vars_random
9381,2026.01.28 16:45,LONG,12,7,7,0,36,20,20,0.5556,0.5556,17.362,17.362,130.9,0,AT_Slope_ST:lo|Bar_Range:hi|Dist_To_PoC_ATR:lo|Efficiency_Ratio:hi|Micro_HLAsymmetry:hi|Micro_Lambda:lo|Micro_OrderFlowDelta:lo|Micro_RangeVelocity:lo|Micro_Rejection:lo|Micro_RollProxy:hi|Micro_VolOfVol:lo|OR_Low_Side:==1|RangeOsc_State:==2|Round_1000_Dist_ATR:lo|Round_100_Dist_ATR:lo|Session_Low_Dist_ATR:lo|Slope_EMA_ST:lo|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,44|46|66|69|92|112|113|166|167|175|184|186,21.629854157675865,36.133273,368,0.259409,-0.359779,1,-8.4e-05,29.895732127216817,28.07020869698633
9387,2026.01.28 16:51,LONG,13,13,13,0,39,22,22,0.5641,0.5641,17.446,17.446,193.7,0,AT_Regime_ST:==1|AT_Slope_ST:lo|DailyOpen_Dist_ATR:lo|Dist_To_PoC_ATR:lo|EMA_Oscillator:lo|Harmonic_OBVf_Concordance:==0|KAMA_Dist:lo|Lower_Wick:hi|Micro_HLAsymmetry:lo|Micro_RollProxy:hi|Micro_VolOfVol:lo|Micro_WickImbalance:hi|OR_High_Side:==-1|PrevDay_High_Side:==-1|RangeOsc_State:==-1|Round_1000_Dist_ATR:lo|Session_Low_Dist_ATR:lo|Slope_EMA_ST:lo|VWAP_Dist_ATR:lo|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,33|44|66|68|72|73|74|75|76|78|79|164|183,19.327201887281348,29.809314,341,0.407433,-0.083866,1,-8.2e-05,31.916270451489858,29.809780066432648
9390,2026.01.28 16:54,LONG,9,9,9,0,27,19,19,0.7037,0.7037,16.894,16.894,144.0,0,AT_Regime_ST:==1|AT_Slope_ST:lo|D2D_DirStep:==-1|DailyOpen_Side:==-1|Dist_To_PoC_ATR:lo|EMA_Oscillator:lo|Micro_FailedBreak:hi|Micro_HLAsymmetry:lo|Micro_RangeVelocity:hi|Micro_VolOfVol:lo|OR_High_Side:==-1|OR_Position:hi|Round_1000_Dist_ATR:lo|Session_Low_Dist_ATR:lo|Slope_EMA_ST:lo|VWAP_Side:==-1|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,26|44|66|68|89|146|147|171|183,19.85825642069273,31.604789,288,0.480006,0.664456,1,-6.8e-05,23.473053431498993,22.401786415067697
9396,2026.01.28 17:00,LONG,12,9,9,0,36,22,22,0.6111,0.6111,16.905,16.905,81.9,0,AT_Regime_ST:==1|Bar_Range:hi|DailyOpen_Dist_ATR:lo|Dist_To_PoC_ATR:lo|EMA_Oscillator:lo|Harmonic_OBVf_Concordance:==0|KAMA_Dist:lo|Lower_Wick:hi|Micro_HLAsymmetry:lo|Micro_MomoTransfer:hi|Micro_TickIntensity:hi|Micro_VolOfVol:lo|Micro_WickImbalance:hi|OR_High_Side:==-1|PrevDay_High_Side:==-1|RangeOsc_State:==-1|Round_1000_Dist_ATR:lo|Slope_EMA_ST:lo|VWAP_Dist_ATR:lo|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,47|66|68|72|73|74|75|76|78|79|164|183,20.081753857917786,20.159223,322,0.452232,-0.09673,1,-3.8e-05,29.895732127216817,28.07020869698633
9671,2026.01.28 21:35,LONG,10,10,10,0,30,14,14,0.4667,0.4667,12.469,12.469,349.0,0,AT_Regime_LT:==1|Micro_Entropy:lo|Micro_IBSP:lo|Micro_MomoTransfer:hi|Micro_OrderFlowDelta:lo|Micro_RangeAccel:lo|Micro_RangeVelocity:lo|Micro_Rejection:lo|OR_Low_Side:==1|Session_Low_Dist_ATR:lo|Slope_EMA_ST:hi|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,85|86|91|100|101|112|113|163|184|186,16.293070828162776,63.192328,412,0.41436,-0.387705,1,4.3e-05,25.67729340170544,24.370762681353153
9673,2026.01.28 21:37,LONG,11,11,11,0,33,16,16,0.4848,0.4848,12.356,12.356,283.8,0,D2D_ATR_MA:hi|DailyOpen_Dist_ATR:lo|Harmonic_OBVf_Concordance:==0|KAMA_Dist:lo|Lower_Wick:hi|Micro_HLAsymmetry:lo|Micro_VPIN:lo|Micro_WickImbalance:hi|OR_High_Side:==-1|PrevDay_High_Side:==-1|ST_Flip_Event:==-1|Slope_Accel_ST:lo|VWAP_Dist_ATR:lo|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,61|72|73|74|75|76|78|79|114|162|183,18.45851948532963,48.030351,397,0.408805,-0.072871,1,-3e-06,27.817084794051137,26.258658030358355
9683,2026.01.28 21:47,LONG,5,5,5,0,15,9,9,0.6,0.6,7.855,7.855,82.5,0,AT_Slope_ST:lo|Dist_To_PoC_ATR:lo|Micro_HLAsymmetry:hi|Micro_Hurst:hi|Micro_VolOfVol:lo|PrevDay_High_Side:==-1|Round_1000_Dist_ATR:lo|Slope_EMA_ST:lo|VWAP_Side:==-1,28|29|66|168|169,27.701767333324,32.532902,335,0.496563,-0.030738,1,-4.2e-05,13.933964781772266,13.604790342516026
9688,2026.01.28 21:52,LONG,5,5,5,0,15,9,9,0.6,0.6,7.855,7.855,52.0,0,Bar_Range:hi|Micro_MomoTransfer:lo|Micro_OrderFlowDelta:lo|Micro_Rejection:lo|Micro_TickIntensity:hi|OBV_Macd:lo|VWAP_Sigma:lo|Volume:hi|Volume_Avg_10:hi,48|102|113|184|186,23.61602783506253,22.355862,293,0.501413,0.178924,1,7.1e-05,13.933964781772266,13.604790342516026
9756,2026.01.28 23:00,SHORT,8,8,8,0,24,18,18,0.75,0.75,16.246,16.246,336.0,0,AT_Slope_ST:hi|Body_Size:hi|D2D_ATR_MA:hi|D2D_Dn_Count:hi|D2D_Dynamic_Sensitivity:lo|Micro_Entropy:lo|Micro_IBSP:lo|Micro_MicroGap:lo|Micro_OrderFlowDelta:lo|Micro_VolAccel:lo|Micro_WickImbalance:hi|PrevDay_High_Dist_ATR:lo|Slope_Accel_ST:lo|Upper_Wick:hi|VAH_Side:==-1|VWAP_Sigma:lo|VWAP_Z:lo|Volume_Avg_10:hi,205|216|219|222|226|246|261|294,20.55414597349189,84.976386,384,0.40209,-0.98345,-1,5.2e-05,22.250175986451605,21.221965111549544
10793,2026.01.29 17:32,SHORT,4,4,4,0,12,8,8,0.6667,0.6667,7.56,7.56,76.4,0,Bar_Range:hi|Lower_Wick:lo|Micro_Entropy:lo|Micro_RangeVelocity:lo|Micro_TickIntensity:hi|Micro_WickImbalance:lo|OBV_Velocity:lo|VAL_Side:==0,211|244|245|275,21.608907603456267,36.795665,396,0.330528,-0.353302,-1,-9.9e-05,11.61144858072867,11.371771386700862
