direction,cond_a,cond_b,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,sum_pnl,bars_same_signal,bars_cross_signal_only
LONG,AT_Regime_ST:==1,AT_Score_LT:lo,30,29,1,15.97,370.36,11110.9,0,30
LONG,DailyOpen_Side:==-1,Session_Low_Dist_ATR:lo,29,29,0,9.48,1018.13,29525.7,25,4
LONG,Micro_HLAsymmetry:hi,Round_100_Dist_ATR:lo,29,29,0,13.14,391.8,11362.3,0,29
LONG,Micro_RangeVelocity:lo,Micro_RollProxy:hi,32,29,3,16.19,1212.86,38811.5,0,32
LONG,Micro_RangeVelocity:hi,VWAP_Side:==-1,30,29,1,21.27,995.65,29869.5,0,30
LONG,Micro_RangeVelocity:hi,Volume:hi,29,29,0,19.28,558.52,16197.1,0,29
LONG,AT_Regime_LT:==1,OR_Position:lo,34,29,5,17.12,639.62,21747.2,0,34
LONG,AT_Regime_ST:==1,EMA_Oscillator:hi,31,29,2,16.13,1050.26,32558.2,31,0
LONG,Bar_Range:hi,OR_Low_Side:==-1,29,29,0,20.14,1594.79,46249.0,0,29
LONG,EMA_Oscillator:hi,PrevDay_Low_Side:==-1,31,29,2,16.13,1050.26,32558.2,31,0
LONG,Micro_RangeAccel:lo,Micro_RollProxy:hi,31,29,2,18.23,1160.61,35978.8,0,31
LONG,Micro_RangeVelocity:lo,OR_Position:lo,33,29,4,17.45,602.73,19890.0,32,1
LONG,Micro_RollProxy:hi,PrevDay_Low_Side:==-1,30,29,1,18.73,1361.12,40833.6,0,30
LONG,AT_Slope_LT:lo,PrevDay_High_Side:==-1,31,29,2,22.68,1610.25,49917.8,0,31
LONG,D2D_Signal:==0,OR_Low_Side:==-1,32,29,3,22.53,539.08,17250.7,0,32
LONG,Micro_FailedBreak:hi,PrevDay_Low_Side:==-1,30,29,1,17.23,1002.4,30072.1,0,30
LONG,Micro_HLAsymmetry:hi,PrevDay_Low_Side:==-1,30,29,1,18.4,1254.75,37642.6,0,30
