tag,loss_events,worst_bar,worst_day,losing_weeks,weeks,days,loss_days,entry_bars,trades,WR,PF,BE_WR,MARGIN,net,lots_per_bar_mean,lots_per_bar_max,max_concurrent,folds_plus,min_fold_pf,PL_worst_bar,PL_worst_day,PL_losing_weeks,PL_PF,PL_net,floor_L,floor_S,tier_on,convention,elig_bars_L,elig_bars_S,gap_fillers_excluded,secs
S56_only_ONE,6.0,-153.0,-153.0,4.0,23.0,40.0,6.0,63.0,63,90.48,2.26,80.8,9.67,1085.0,1.0,1.0,1.0,2.0,,-153.0,-153.0,4.0,2.21,1043.0,999,56,True,ONE,0,88,535,1.5
S56_only_RR,8.0,-153.0,-153.0,5.0,23.0,40.0,8.0,88.0,88,90.91,2.49,80.08,10.83,1738.4,1.0,1.0,5.0,2.0,,-153.0,-153.0,5.0,2.45,1696.4,999,56,True,RR,0,88,530,1.6
S60_only_ONE,0.0,32.8,32.8,0.0,5.0,5.0,0.0,5.0,5,100.0,,0.0,100.0,407.2,1.0,1.0,1.0,2.0,,32.8,32.8,0.0,inf,407.2,999,60,True,ONE,0,7,544,1.3
S60_only_RR,1.0,-153.0,-69.0,1.0,5.0,5.0,1.0,7.0,7,85.71,2.94,67.14,18.57,296.2,1.0,1.0,3.0,2.0,,-153.0,-69.0,1.0,2.94,296.2,999,60,True,RR,0,7,544,1.4
S65_only_ONE,,,,,,,,,0,,,,,,,,,,,,,,,,999,65,True,ONE,0,0,544,0.6
S65_only_RR,,,,,,,,,0,,,,,,,,,,,,,,,,999,65,True,RR,0,0,544,0.7
S70_only_ONE,,,,,,,,,0,,,,,,,,,,,,,,,,999,70,True,ONE,0,0,544,0.6
S70_only_RR,,,,,,,,,0,,,,,,,,,,,,,,,,999,70,True,RR,0,0,544,0.6
S75_only_ONE,,,,,,,,,0,,,,,,,,,,,,,,,,999,75,True,ONE,0,0,544,0.6
S75_only_RR,,,,,,,,,0,,,,,,,,,,,,,,,,999,75,True,RR,0,0,544,0.6
S80_only_ONE,,,,,,,,,0,,,,,,,,,,,,,,,,999,80,True,ONE,0,0,544,0.6
S80_only_RR,,,,,,,,,0,,,,,,,,,,,,,,,,999,80,True,RR,0,0,544,0.7
S85_only_ONE,,,,,,,,,0,,,,,,,,,,,,,,,,999,85,True,ONE,0,0,544,0.6
S85_only_RR,,,,,,,,,0,,,,,,,,,,,,,,,,999,85,True,RR,0,0,544,0.6
L63_S53_notier_ONE,85.0,-306.0,-718.7,12.0,26.0,103.0,61.0,425.0,425,80.0,0.87,82.08,-2.08,-1550.5,1.0,1.0,1.0,2.0,0.51,-153.0,-552.7,13.0,0.92,-895.9,63,53,False,ONE,563,345,497,2.2
L63_S53_notier_RR,167.0,-306.0,-1078.7,13.0,26.0,103.0,70.0,908.0,908,81.61,0.96,82.16,-0.55,-854.7,1.0,1.0,9.0,2.0,0.51,-153.0,-930.0,13.0,1.01,166.3,63,53,False,RR,563,345,479,3.1
