direction,lag,condition,win_true,win_rate,lose_true,lose_rate,lift,p,BY_reject
LONG,1,Micro_VolAccel:hi,47,0.1857707509881423,155,0.22270114942528735,0.8341705979854648,0.24390970889796643,False
LONG,1,Micro_VolAccel:lo,100,0.3952569169960474,227,0.3261494252873563,1.2118890494680574,0.053432993591002814,False
LONG,1,Micro_VolOfVol:hi,100,0.3952569169960474,225,0.3232758620689655,1.22266139657444,0.044222274018518894,False
LONG,1,Micro_VolOfVol:lo,51,0.2015810276679842,142,0.20402298850574713,0.9880309525134999,1.0,False
LONG,1,Micro_WickImbalance:hi,55,0.21739130434782608,164,0.23563218390804597,0.9225874867444327,0.6014858390733535,False
LONG,1,Micro_WickImbalance:lo,105,0.4150197628458498,224,0.3218390804597701,1.2895256916996047,0.008712393047195472,False
LONG,1,Momentum_Value:hi,150,0.5928853754940712,357,0.5129310344827587,1.1558773707111303,0.03277479146401914,False
LONG,1,Momentum_Value:lo,44,0.17391304347826086,147,0.21120689655172414,0.8234250221827861,0.23398140076795676,False
LONG,1,MultiDay_Position:hi,37,0.14624505928853754,183,0.2629310344827586,0.55621071729411,0.00012318232219554103,True
LONG,1,MultiDay_Position:lo,102,0.4031620553359684,197,0.28304597701149425,1.4243694949940813,0.000507334453199814,True
LONG,1,MultiDay_Slope:hi,34,0.13438735177865613,123,0.17672413793103448,0.7604357466499566,0.13827558516806007,False
LONG,1,MultiDay_Slope:lo,54,0.2134387351778656,186,0.2672413793103448,0.798673976794594,0.10838755939961747,False
LONG,1,OBV_Macd:hi,29,0.11462450592885376,143,0.20545977011494254,0.5578927001851903,0.0011481826370597578,True
LONG,1,OBV_Macd:lo,144,0.5691699604743083,208,0.2988505747126437,1.9045302523563392,5.447978521828368e-14,True
LONG,1,OBV_Velocity:hi,84,0.33201581027667987,216,0.3103448275862069,1.069828722002635,0.5285508091662283,False
LONG,1,OBV_Velocity:lo,14,0.05533596837944664,52,0.07471264367816093,0.7406506536941319,0.3862390438741419,False
LONG,1,OBVf_DirStepCount:hi,2,0.007905138339920948,9,0.01293103448275862,0.61133069828722,0.7367594444992868,False
LONG,1,OBVf_DirStepCount:lo,26,0.10276679841897234,85,0.1221264367816092,0.8414787258777029,0.49310757813251815,False
LONG,1,OBVf_Signal:==-1,100,0.3952569169960474,323,0.4640804597701149,0.8516991152608329,0.0648869733363136,False
LONG,1,OBVf_Signal:==1,153,0.6047430830039525,373,0.5359195402298851,1.1284214095730587,0.0648869733363136,False
LONG,1,OBVf_Trend_Dir:==-1,100,0.3952569169960474,323,0.4640804597701149,0.8516991152608329,0.0648869733363136,False
LONG,1,OBVf_Trend_Dir:==1,153,0.6047430830039525,373,0.5359195402298851,1.1284214095730587,0.0648869733363136,False
LONG,1,OR_High_Dist_ATR:hi,62,0.2450592885375494,141,0.2025862068965517,1.2096543604406695,0.17916795967421395,False
LONG,1,OR_High_Dist_ATR:lo,0,0.0,0,0.0,inf,1.0,False
LONG,1,OR_High_Side:==-1,160,0.6324110671936759,306,0.4396551724137931,1.4384251724405177,1.6496697195923882e-07,True
LONG,1,OR_High_Side:==0,36,0.1422924901185771,189,0.27155172413793105,0.5239977413890458,2.180467820524416e-05,True
LONG,1,OR_High_Side:==1,57,0.22529644268774704,201,0.28879310344827586,0.7801309657247361,0.05767069811315925,False
LONG,1,OR_Low_Dist_ATR:hi,46,0.18181818181818182,135,0.1939655172413793,0.9373737373737374,0.7093563104337961,False
LONG,1,OR_Low_Dist_ATR:lo,0,0.0,0,0.0,inf,1.0,False
LONG,1,OR_Low_Side:==-1,111,0.43873517786561267,158,0.22701149425287356,1.9326562265472558,4.351810286397062e-10,True
LONG,1,OR_Low_Side:==0,35,0.1383399209486166,186,0.2672413793103448,0.5176590590335332,1.9517563514808597e-05,True
LONG,1,OR_Low_Side:==1,107,0.42292490118577075,352,0.5057471264367817,0.8362378727991375,0.027472287634530742,False
LONG,1,OR_Position:hi,65,0.25691699604743085,246,0.35344827586206895,0.726887110768341,0.004908036803577057,False
LONG,1,OR_Position:lo,119,0.47035573122529645,176,0.25287356321839083,1.8600431189363995,4.2694380960350937e-10,True
LONG,1,PoC_Side:==-1,2,0.007905138339920948,13,0.01867816091954023,0.42322894496807534,0.3776270893951728,False
