direction,condition,variable,in_book_this_dir,book_group,traded_bars_true,traded_rate,untraded_rate_hourmatched,untraded_rate_raw,lift_hourmatched,lift_raw,fisher_p_raw
LONG,ADX_Rising:==0,ADX_Rising,True,LONG-only,269,0.4475873544093178,0.48258072585687745,0.47097868574378643,0.9274870097942165,0.9503346286307454,0.27757410933569004
LONG,ADX_Rising:==1,ADX_Rising,True,LONG-only,332,0.5524126455906821,0.5174192741431282,0.5290213142562136,1.067630591275334,1.0442162361026153,0.27757410933569004
LONG,ADX_Value:hi,ADX_Value,True,LONG-only,109,0.18136439267886856,0.23269584180173575,0.24441330481598939,0.7794053871980952,0.7420397707703014,0.00030936028422472606
LONG,ADX_Value:lo,ADX_Value,True,both,126,0.2096505823627288,0.18472120113769547,0.17663544509182094,1.1349567947344084,1.1869111675391397,0.04360787073518152
LONG,ATR_1M:hi,ATR_1M,False,SHORT-only,538,0.8951747088186356,0.6870674453534569,0.6479828895936278,1.302892044838654,1.3814789297600591,1.3248596723880075e-42
LONG,ATR_1M:lo,ATR_1M,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,AT_Lookback_LT:hi,AT_Lookback_LT,True,both,87,0.1447587354409318,0.19469940607680444,0.19617965926690759,0.7434985979558038,0.7378886067081181,0.0015349780222906778
LONG,AT_Lookback_LT:lo,AT_Lookback_LT,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,AT_Lookback_ST:hi,AT_Lookback_ST,True,both,172,0.28618968386023297,0.16326145139694484,0.16321262629987462,1.7529532012085771,1.7534775975873922,2.3535847629589076e-13
LONG,AT_Lookback_ST:lo,AT_Lookback_ST,False,not-in-book,0,0.0,0.0,0.0,inf,inf,1.0
LONG,AT_Regime_LT:==0,AT_Regime_LT,False,not-in-book,207,0.34442595673876875,0.6016391846657826,0.5907515303488458,0.572479262516954,0.5830301557329545,1.5553430317655432e-32
LONG,AT_Regime_LT:==1,AT_Regime_LT,True,LONG-only,394,0.6555740432612313,0.3983608153342191,0.4092484696511542,1.645679037761819,1.6018973603494386,1.5553430317655432e-32
LONG,AT_Regime_ST:==0,AT_Regime_ST,False,SHORT-only,295,0.4908485856905158,0.8338951424270395,0.8406962165351427,0.58862147135419,0.5838596344747525,1.2301841920487049e-82
LONG,AT_Regime_ST:==1,AT_Regime_ST,True,LONG-only,306,0.5091514143094842,0.16610485757293733,0.1593037834648573,3.0652409673565004,3.1961037160288406,1.2301841920487049e-82
LONG,AT_Score_LT:hi,AT_Score_LT,True,both,26,0.04326123128119801,0.09111882057689796,0.09277970351795856,0.4747782182352605,0.46627904208407295,8.365271503682545e-06
LONG,AT_Score_LT:lo,AT_Score_LT,True,both,119,0.19800332778702162,0.05979502845939436,0.06431152739877571,3.3113677322100754,3.0788155062663147,3.429900954882719e-26
LONG,AT_Score_ST:hi,AT_Score_ST,False,not-in-book,70,0.11647254575707154,0.2439640837356614,0.24050446198097206,0.47741677370539193,0.4842843446550546,6.878711779695529e-14
LONG,AT_Score_ST:lo,AT_Score_ST,False,not-in-book,73,0.12146422628951747,0.013628107686830588,0.014676598569216019,8.912772710689207,8.27604745859079,1.2553576643757545e-38
LONG,AT_Slope_LT:hi,AT_Slope_LT,False,SHORT-only,115,0.1913477537437604,0.3586710138854754,0.3476657570617302,0.5334909884991661,0.550378488122963,1.5446435225904757e-16
