direction,condition,bars,profitable_bars,loss_events,mean_depth,mean_bar_pnl,share_traded_bars
LONG,KAMA_Dist:hi,52,50,2,14.038461538461538,1188.9153846153845,0.08652246256239601
LONG,OBVf_Signal:==1,52,50,2,16.01923076923077,275.21346153846156,0.08652246256239601
LONG,D2D_Signal:==0,54,49,5,19.703703703703702,487.1388888888889,0.08985024958402663
LONG,RangeOsc_State:==-2,51,49,2,11.254901960784315,1206.1568627450981,0.08485856905158069
LONG,Slope_Accel_LT:lo,49,48,1,11.489795918367347,712.0469387755102,0.08153078202995008
LONG,ADX_Rising:==1,48,46,2,6.4375,525.7770833333333,0.07986688851913477
LONG,Micro_Lambda:lo,52,46,6,7.346153846153846,265.7634615384615,0.08652246256239601
LONG,DailyOpen_Side:==-1,44,44,0,8.295454545454545,794.8568181818181,0.07321131447587355
LONG,VA_Position:hi,47,44,3,10.063829787234043,303.4808510638298,0.07820299500831947
LONG,OR_Position:hi,44,42,2,6.5227272727272725,418.24772727272733,0.07321131447587355
LONG,Harmonic_OBVf_Concordance:==0,45,41,4,8.8,261.6311111111111,0.07487520798668885
LONG,Micro_MomoTransfer:hi,44,41,3,7.090909090909091,448.2136363636364,0.07321131447587355
LONG,PrevDay_Low_Dist_ATR:lo,41,41,0,16.170731707317074,402.9390243902439,0.06821963394342762
LONG,Micro_MicroGap:lo,42,40,2,12.880952380952381,366.33809523809526,0.06988352745424292
LONG,Micro_FractalDim:lo,40,39,1,10.85,518.95,0.06655574043261231
LONG,DailyOpen_Side:==1,39,38,1,10.512820512820513,288.99487179487176,0.064891846921797
LONG,Micro_CSSpread:hi,40,38,2,11.2,298.9525,0.06655574043261231
LONG,VWAP_Side:==1,38,38,0,7.7368421052631575,736.828947368421,0.0632279534109817
LONG,D2D_DirStep:==1,39,37,2,19.666666666666668,1470.0461538461539,0.064891846921797
LONG,Micro_Entropy:lo,39,37,2,7.282051282051282,574.8179487179488,0.064891846921797
LONG,Micro_HLAsymmetry:lo,39,37,2,7.538461538461538,209.81025641025641,0.064891846921797
LONG,Lower_Wick:lo,39,36,3,8.153846153846153,287.62051282051283,0.064891846921797
LONG,Micro_MicroGap:hi,38,36,2,11.789473684210526,513.4842105263157,0.0632279534109817
LONG,PrevDay_High_Dist_ATR:hi,37,36,1,8.486486486486486,196.0837837837838,0.06156405990016639
LONG,Round_100_Dist_ATR:lo,37,36,1,11.972972972972974,309.6810810810811,0.06156405990016639
LONG,RangeOsc_Val:lo,37,35,2,19.83783783783784,369.3243243243243,0.06156405990016639
LONG,ADX_Value:hi,35,34,1,9.285714285714286,684.1714285714286,0.05823627287853577
LONG,OBV_Velocity:hi,35,34,1,8.17142857142857,404.19428571428574,0.05823627287853577
LONG,D2D_Persist:hi,37,33,4,5.297297297297297,197.77027027027026,0.06156405990016639
LONG,MultiDay_Position:hi,34,32,2,5.588235294117647,285.7970588235294,0.056572379367720464
LONG,MultiDay_Slope:lo,33,32,1,10.06060606060606,271.57575757575756,0.05490848585690516
LONG,RangeOsc_Val:hi,31,31,0,6.387096774193548,393.9,0.051580698835274545
LONG,Micro_VolOfVol:lo,30,30,0,7.933333333333334,254.2466666666667,0.04991680532445923
LONG,EMA_Oscillator:hi,31,29,2,16.129032258064516,1050.2645161290322,0.051580698835274545
LONG,Micro_BarOverlap:lo,29,29,0,18.413793103448278,1092.9103448275862,0.048252911813643926
LONG,Micro_PriceAccel:hi,30,29,1,10.9,975.7466666666667,0.04991680532445923
LONG,VWAP_Sigma:lo,29,29,0,6.896551724137931,334.50344827586207,0.048252911813643926
LONG,ST_Flip_Event:==-1,30,28,2,6.866666666666666,140.13666666666666,0.04991680532445923
LONG,Slope_EMA_ST:hi,29,28,1,6.172413793103448,287.00344827586207,0.048252911813643926
LONG,Efficiency_Ratio:hi,31,27,4,7.129032258064516,568.0129032258066,0.051580698835274545
LONG,Sqz_Val:hi,25,24,1,11.36,950.32,0.04159733777038269
LONG,VWAP_Sigma_ATR:lo,27,24,3,16.333333333333332,1196.7925925925927,0.04492512479201331
LONG,PrevDay_High_Side:==1,25,23,2,6.84,227.196,0.04159733777038269
LONG,Micro_PriceAccel:lo,23,22,1,15.73913043478261,580.3347826086957,0.03826955074875208
LONG,D2D_DirStep:==-1,22,21,1,8.454545454545455,219.52727272727273,0.036605657237936774
LONG,Harmonic_LLEMA:hi,21,21,0,5.285714285714286,125.91904761904763,0.03494176372712146
LONG,Slope_Accel_ST:lo,21,20,1,6.9523809523809526,174.68095238095236,0.03494176372712146
LONG,EMA_Oscillator:lo,21,19,2,8.380952380952381,107.89047619047618,0.03494176372712146
LONG,Micro_GarmanKlass:hi,19,19,0,9.68421052631579,230.45263157894735,0.03161397670549085
LONG,Micro_LogReturn:lo,19,18,1,6.2631578947368425,138.53157894736842,0.03161397670549085
LONG,AT_Score_LT:hi,17,17,0,5.352941176470588,170.05882352941177,0.028286189683860232
LONG,Dist_To_PoC_ATR:lo,17,17,0,7.0,179.82941176470587,0.028286189683860232
LONG,Momentum_Value:lo,16,16,0,7.875,221.63125,0.026622296173044926
LONG,OBVf_Signal:==-1,16,16,0,10.3125,1301.71875,0.026622296173044926
LONG,ST_Flip_Event:==1,17,16,1,5.764705882352941,322.3470588235294,0.028286189683860232
LONG,Micro_IBSP:hi,15,15,0,10.666666666666666,295.4866666666667,0.024958402662229616
LONG,Micro_FractalDim:hi,14,13,1,8.214285714285714,93.95,0.02329450915141431
LONG,Micro_IBSP:lo,13,13,0,6.153846153846154,280.8538461538461,0.021630615640599003
LONG,Micro_RollProxy:lo,13,12,1,10.0,391.4,0.021630615640599003
LONG,Micro_TickIntensity:lo,12,12,0,17.75,2157.2166666666667,0.019966722129783693
LONG,OR_High_Side:==1,12,12,0,6.916666666666667,529.3166666666667,0.019966722129783693
LONG,PrevDay_Close_Dist_ATR:hi,12,12,0,12.25,235.975,0.019966722129783693
LONG,AT_Lookback_LT:hi,11,11,0,5.2727272727272725,315.9909090909091,0.018302828618968387
LONG,Micro_MomoTransfer:lo,9,9,0,5.333333333333333,119.93333333333334,0.014975041597337771
LONG,OR_High_Side:==0,9,9,0,5.888888888888889,177.02222222222224,0.014975041597337771
LONG,PrevDay_Low_Side:==1,9,9,0,4.555555555555555,96.23333333333333,0.014975041597337771
LONG,VAH_Dist_ATR:hi,9,9,0,5.333333333333333,351.4555555555555,0.014975041597337771
LONG,WeeklyOpen_Dist_ATR:lo,9,9,0,5.333333333333333,351.4555555555555,0.014975041597337771
LONG,ADX_Value:lo,8,8,0,6.125,175.225,0.013311148086522463
LONG,D2D_Dynamic_Sensitivity:lo,9,8,1,14.11111111111111,751.2111111111111,0.014975041597337771
LONG,Micro_Amihud:lo,7,7,0,5.0,287.1571428571429,0.011647254575707155
LONG,Micro_Rejection:hi,7,7,0,5.285714285714286,220.98571428571427,0.011647254575707155
LONG,Micro_VPIN:hi,7,7,0,5.0,287.1571428571429,0.011647254575707155
LONG,Sqz_State:==-1,8,7,1,7.25,119.72500000000001,0.013311148086522463
LONG,Micro_CSSpread:lo,6,6,0,5.333333333333333,219.9,0.009983361064891847
LONG,Micro_ThrustEff:lo,4,4,0,6.25,249.97500000000002,0.0066555740432612314
SHORT,Volume_Avg_10:hi,113,112,1,5.398230088495575,299.0964601769912,0.30376344086021506
SHORT,Bar_Range:hi,113,109,4,5.017699115044247,287.853982300885,0.30376344086021506
SHORT,Sqz_Val:hi,89,87,2,4.741573033707865,97.67865168539325,0.239247311827957
SHORT,Micro_Hurst:hi,88,86,2,4.545454545454546,148.5715909090909,0.23655913978494625
SHORT,PrevDay_High_Side:==1,85,81,4,4.858823529411764,132.18823529411765,0.22849462365591397
SHORT,D2D_Dynamic_Sensitivity:lo,80,78,2,5.425,362.81624999999997,0.21505376344086022
SHORT,Lower_Wick:lo,76,74,2,5.328947368421052,383.36315789473684,0.20430107526881722
SHORT,D2D_ATR_MA:hi,72,71,1,5.111111111111111,146.53055555555557,0.1935483870967742
SHORT,Micro_RangeVelocity:lo,72,70,2,5.041666666666667,408.8361111111111,0.1935483870967742
SHORT,Session_High_Dist_ATR:hi,71,69,2,4.816901408450704,100.44647887323943,0.19086021505376344
SHORT,AT_Score_LT:hi,65,64,1,5.276923076923077,152.18153846153845,0.17473118279569894
SHORT,AT_Slope_ST:lo,65,64,1,5.2153846153846155,129.51076923076926,0.17473118279569894
SHORT,D2D_ATR:hi,65,63,2,5.184615384615385,155.8646153846154,0.17473118279569894
SHORT,Volume:hi,63,61,2,5.5396825396825395,383.6984126984127,0.1693548387096774
SHORT,RangeOsc_State:==2,59,58,1,4.559322033898305,181.0593220338983,0.1586021505376344
SHORT,Micro_TickIntensity:hi,57,56,1,4.859649122807017,102.82105263157895,0.1532258064516129
SHORT,RangeOsc_State:==-1,54,52,2,5.2407407407407405,145.40555555555554,0.14516129032258066
SHORT,Micro_Entropy:lo,51,51,0,5.392156862745098,468.03137254901964,0.13709677419354838
SHORT,Micro_HLAsymmetry:lo,53,50,3,4.830188679245283,139.85471698113207,0.1424731182795699
SHORT,Session_High_Dist_ATR:lo,52,50,2,4.75,187.62307692307692,0.13978494623655913
SHORT,EMA_Oscillator:lo,49,48,1,5.346938775510204,461.88775510204084,0.13172043010752688
SHORT,OBVf_Signal:==1,45,44,1,4.822222222222222,143.93333333333334,0.12096774193548387
SHORT,ATR_1M:hi,42,41,1,4.571428571428571,185.31428571428572,0.11290322580645161
SHORT,Micro_OrderFlowDelta:hi,43,41,2,4.790697674418604,85.28139534883721,0.11559139784946236
SHORT,PrevDay_Low_Dist_ATR:hi,43,41,2,4.976744186046512,100.59302325581395,0.11559139784946236
SHORT,PrevDay_Close_Dist_ATR:hi,41,40,1,5.048780487804878,97.22926829268293,0.11021505376344086
SHORT,TChan_A15:hi,41,40,1,4.951219512195122,151.24634146341464,0.11021505376344086
SHORT,Micro_WickImbalance:lo,39,39,0,5.410256410256411,554.4205128205127,0.10483870967741936
SHORT,PrevDay_High_Dist_ATR:lo,39,39,0,5.384615384615385,204.23333333333335,0.10483870967741936
SHORT,Slope_Accel_LT:lo,40,39,1,4.75,99.17,0.10752688172043011
SHORT,Micro_BarEntropy:lo,40,38,2,4.8,182.6625,0.10752688172043011
SHORT,Micro_CSSpread:hi,38,38,0,4.605263157894737,147.56052631578947,0.10215053763440861
SHORT,Micro_RangeAccel:lo,38,38,0,5.815789473684211,599.8315789473684,0.10215053763440861
SHORT,WeeklyOpen_Dist_ATR:hi,39,38,1,4.794871794871795,143.16153846153847,0.10483870967741936
SHORT,AT_Lookback_ST:hi,38,37,1,5.0,67.66052631578947,0.10215053763440861
SHORT,Momentum_Value:hi,35,35,0,5.171428571428572,127.26857142857142,0.09408602150537634
SHORT,MultiDay_Slope:hi,36,35,1,4.722222222222222,209.86944444444444,0.0967741935483871
SHORT,Volume_Ratio_10:hi,36,35,1,5.111111111111111,148.52222222222224,0.0967741935483871
SHORT,Micro_HLAsymmetry:hi,35,34,1,4.8,183.6342857142857,0.09408602150537634
SHORT,Micro_Lambda:hi,34,34,0,4.705882352941177,244.80882352941177,0.0913978494623656
SHORT,Micro_MomoTransfer:hi,34,34,0,5.5588235294117645,224.16176470588235,0.0913978494623656
SHORT,Micro_OrderFlowDelta:lo,34,34,0,5.411764705882353,267.52058823529416,0.0913978494623656
SHORT,Micro_BarOverlap:lo,32,32,0,4.46875,159.2125,0.08602150537634409
SHORT,Micro_IBSP:lo,33,32,1,5.575757575757576,642.2121212121212,0.08870967741935484
SHORT,VAL_Side:==0,32,32,0,5.34375,243.828125,0.08602150537634409
SHORT,VAH_Side:==0,31,31,0,5.483870967741935,216.46451612903223,0.08333333333333333
SHORT,Bars_Since_Flip:hi,31,30,1,5.161290322580645,100.45483870967742,0.08333333333333333
SHORT,OR_High_Side:==-1,30,30,0,5.6,166.57999999999998,0.08064516129032258
SHORT,Micro_GarmanKlass:hi,29,28,1,4.827586206896552,128.2862068965517,0.07795698924731183
SHORT,DailyOpen_Dist_ATR:lo,28,27,1,5.357142857142857,233.07857142857142,0.07526881720430108
SHORT,Micro_CSSpread:lo,27,27,0,4.777777777777778,116.77777777777777,0.07258064516129033
SHORT,D2D_Signal:==-1,26,26,0,5.5,740.373076923077,0.06989247311827956
SHORT,OR_High_Side:==1,26,26,0,4.230769230769231,165.66923076923075,0.06989247311827956
SHORT,ADX_Value:lo,25,25,0,4.52,143.076,0.06720430107526881
SHORT,AT_Slope_ST:hi,26,25,1,4.884615384615385,172.61153846153846,0.06989247311827956
SHORT,Body_Size:hi,25,25,0,5.24,270.10400000000004,0.06720430107526881
SHORT,PrevDay_Close_Side:==-1,25,25,0,4.32,181.672,0.06720430107526881
SHORT,RangeOsc_Val:lo,25,25,0,5.84,244.96399999999997,0.06720430107526881
SHORT,Micro_VolAccel:lo,24,24,0,5.666666666666667,769.5500000000001,0.06451612903225806
SHORT,PrevDay_Close_Dist_ATR:lo,24,24,0,5.125,224.55416666666667,0.06451612903225806
SHORT,VWAP_Side:==1,24,24,0,5.125,224.55416666666667,0.06451612903225806
SHORT,AT_Regime_ST:==0,24,23,1,5.25,752.3833333333333,0.06451612903225806
SHORT,VAH_Side:==-1,24,23,1,4.666666666666667,234.90833333333333,0.06451612903225806
SHORT,Efficiency_Ratio:hi,22,22,0,6.5,832.9181818181819,0.05913978494623656
SHORT,VWAP_Z:lo,23,22,1,5.6521739130434785,179.26521739130436,0.06182795698924731
SHORT,Micro_MicroGap:lo,21,21,0,5.571428571428571,253.44285714285715,0.056451612903225805
SHORT,Micro_Rejection:hi,21,21,0,4.619047619047619,105.35238095238095,0.056451612903225805
SHORT,Micro_WickImbalance:hi,22,21,1,5.2727272727272725,226.88181818181818,0.05913978494623656
SHORT,PoC_Side:==0,21,21,0,4.857142857142857,171.32380952380953,0.056451612903225805
SHORT,Slope_Accel_ST:lo,21,21,0,5.666666666666667,856.8714285714285,0.056451612903225805
